id,coc,con,brc,brn,OC,BC,BCM,MBCV,MBCDNC,MBC,SC,SCA,ST,cocbrc,Rank,Avg,College,Collegeadd1,District,Pincode,Location,Col Sel,Col All,Col Rank,Brn Sel,Brn all,Brn Rank,Loc Sel,Loc All,Loc Rank,Filter,Sel-all,Fin-Filter,Over-all Rank
62b0bb278da21573831b4b64,2715,"Nandha Engineering College (Autonomous), Pitchandampalayam Post, Erode District 638052",IT,INFORMATION TECHNOLOGY,171.81,167.065,,161.87,159.74,162.715,160.135,,,2715IT,484.325,163.8891667,Nandha Engineering College (Autonomous),Pitchandampalayam Post,Erode,638052,"Erode, Tamil Nadu, India",FALSE,FALSE,63,TRUE,FALSE,52,FALSE,FALSE,55,FALSE,FALSE,FALSE,170
62b0bb278da21573831b4bc1,2727,"Sri Shakthi Institute of Engineering and Technology (Autonomous), L&T Bye-Pass, Venkitapuram Post, Comibatore District 641062",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,171.55,168.495,164.5,150.175,165.79,168.42,126.1,170.205,,2727EE,484.385,160.654375,Sri Shakthi Institute of Engineering and Technology (Autonomous)," L&T Bye-Pass, Venkitapuram Post",Coimbatore,641062,"Coimbatore, Tamil Nadu, India",FALSE,FALSE,59,TRUE,FALSE,52,TRUE,FALSE,51,FALSE,FALSE,FALSE,162
62b0bb268da21573831b4951,2329,"Rathinam Technical Campus, Pollachi Road, Eachanari, Coimbatore District 641021",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,169.56,167.995,166.24,148.575,167.865,168.57,150.705,,,2329EC,485.01,162.7871429,Rathinam Technical Campus," Pollachi Road, Eachanari",Coimbatore,641021,"Coimbatore, Tamil Nadu, India",FALSE,FALSE,61,TRUE,FALSE,25,TRUE,FALSE,51,FALSE,FALSE,FALSE,137
62b0bb268da21573831b49cb,2608,"M Kumarasamy College of Engineering (Autonomous), Thalavapalayam, Karur District 639113",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,177.81,174,147.5,141,169.475,174.755,130.24,157.845,,2608EC,485.23,159.078125,M Kumarasamy College of Engineering (Autonomous),Thalavapalayam,Karur,639113,"Karur, Tamil Nadu, India",FALSE,FALSE,58,TRUE,FALSE,25,FALSE,FALSE,58,FALSE,FALSE,FALSE,141
62b0bb288da21573831b4e1d,4678,"Ramco Institute of Technology, North venganallur Village, Krishnapuram Panchayat, Rajapalayam, Virudhunagar District 626117",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,178.135,174,174.295,135.78,172.26,177.23,139.415,,,4678EC,485.27,164.445,Ramco Institute of Technology," North venganallur Village, Krishnapuram Panchayat, Rajapalayam",Virudhunagar,626117,"Virudhunagar, Tamil Nadu, India",FALSE,FALSE,57,TRUE,FALSE,25,FALSE,FALSE,55,FALSE,FALSE,FALSE,137
62b0bb268da21573831b47a1,1317,"St. JosephÕs College of Engineering (Autonomous), Old Mahabalipuram Road (OMR), Chennai 600 119",CH,CHEMICAL  ENGINEERING,175.87,173.045,166,172.01,116.5,170.165,142.5,169.405,,1317CH,458.675,160.686875,St. JosephÕs College of Engineering (Autonomous),Old Mahabalipuram Road (OMR),Chennai,600119,"Chennai, Tamil Nadu, India",FALSE,FALSE,54,FALSE,FALSE,53,TRUE,TRUE,51,FALSE,TRUE,TRUE,158
62b0bb278da21573831b4b96,2722,"Sri Krishna College of Technology (Autonomous) , Kovaipudur Post, Coimbatore District 641042",IC,INSTRUMENTATION AND CONTROL ENGINEERING,176.8,174.21,174.09,141,167.585,176.72,129,,,2722IC,485.305,162.7721429,Sri Krishna College of Technology (Autonomous),Kovaipudur Post,Coimbatore,641042,"Coimbatore, Tamil Nadu, India",FALSE,FALSE,56,TRUE,FALSE,59,TRUE,FALSE,51,FALSE,FALSE,FALSE,166
62b0bb278da21573831b4bf5,2739,"Sri Eshwar College of Engineering (Autonomous), Kondampatti Post, Vadasithur (Via), Kinathukadavu, Coimbatore District 641202",ME,MECHANICAL ENGINEERING,176.065,171.635,,148.585,166.46,170.315,132.955,,,2739ME,485.36,161.0025,Sri Eshwar College of Engineering (Autonomous)," Kondampatti Post, Vadasithur (Via), Kinathukadavu",Coimbatore,641202,"Coimbatore, Tamil Nadu, India",FALSE,FALSE,56,FALSE,FALSE,53,TRUE,FALSE,51,FALSE,FALSE,FALSE,160
62b0bb268da21573831b4833,1424,"Dhaanish Ahmed College of Engineering, Padappai, Chennai 601301",AD,Artificial Intelligence and Data Science,175.78,144.65,171.57,149.815,168.58,,159.815,,,1424AD,318.395,161.7016667,Dhaanish Ahmed College of Engineering,Padappai,Chennai,601301,"Chennai, Tamil Nadu, India",FALSE,FALSE,62,TRUE,TRUE,54,TRUE,TRUE,51,FALSE,TRUE,TRUE,167
62b0bb278da21573831b4aad,2651,"Jai Shriram Engineering College, Dharapuram Road, Avinashi Palayam, Tiruppur District 638660",CS,COMPUTER SCIENCE AND ENGINEERING,170.925,148.24,81.5,162.385,155.535,167.78,87,148.185,,2651CS,485.7,140.19375,Jai Shriram Engineering College," Dharapuram Road, Avinashi Palayam",Tiruppur,638660,"Tiruppur, Tamil Nadu, India",FALSE,FALSE,65,TRUE,FALSE,50,FALSE,FALSE,58,FALSE,FALSE,FALSE,173
